x_m,y_m,speed_mps,notch
524630.366,4571612.616,10.9951,6
524638.64,4571620.03,11.11,6
524646.914,4571627.445,11.11,6
524655.017,4571635.035,11.11,6
524662.636,4571643.12,11.11,6
524670.256,4571651.205,11.11,6
524677.876,4571659.29,11.11,6
524685.496,4571667.375,11.11,6
524693.686,4571674.868,11.11,6
524702.055,4571682.175,11.11,6
524710.424,4571689.482,11.11,7
524718.793,4571696.789,11.11,7
524727.075,4571704.192,11.11,7
524735.109,4571711.866,11.11,7
524743.142,4571719.54,11.11,6
524751.176,4571727.214,11.11,6
524759.21,4571734.888,11.11,6
524766.544,4571743.216,11.11,6
524773.664,4571751.745,11.11,6
524780.783,4571760.274,11.11,7
524787.903,4571768.803,11.11,7
524794.722,4571777.553,11.11,7
524800.725,4571786.901,11.11,7
524806.729,4571796.249,11.11,6
524812.733,4571805.598,11.11,6
524818.736,4571814.946,11.11,6
524824.089,4571824.673,11.11,6
524829.252,4571834.51,11.11,6
524834.415,4571844.348,11.11,6
524839.577,4571854.186,11.11,6
524844.459,4571864.153,11.11,6
524848.605,4571874.46,11.11,6
524852.751,4571884.768,11.11,6
524856.898,4571895.075,11.11,6
524861.044,4571905.382,11.11,6
524864.684,4571915.875,11.11,6
524868.18,4571926.42,11.11,6
524871.677,4571936.966,11.11,6
524875.173,4571947.512,11.11,6
524878.336,4571958.147,11.11,6
524880.643,4571969.015,11.11,6
524882.95,4571979.883,11.11,6
524885.257,4571990.751,11.11,6
524887.564,4572001.619,11.11,6
524889.039,4572012.621,11.11,6
524890.281,4572023.662,11.11,6
524891.523,4572034.702,11.11,6
524892.765,4572045.742,11.11,6
524893.896,4572056.793,11.11,6
524894.75,4572067.87,11.11,6
524895.603,4572078.948,11.11,6
524896.456,4572090.025,11.11,6
524897.31,4572101.102,11.11,6
524897.97,4572112.192,11.11,6
524898.577,4572123.285,11.11,6
524899.183,4572134.379,11.11,6
524899.79,4572145.472,11.11,6
524900.339,4572156.568,11.11,6
524900.739,4572167.671,11.11,6
524901.14,4572178.774,11.11,6
524901.541,4572189.876,11.11,6
524901.942,4572200.979,11.11,6
524902.267,4572212.084,11.11,6
524902.572,4572223.19,11.11,6
524902.877,4572234.296,11.11,7
524903.181,4572245.402,11.11,7
524903.486,4572256.508,11.11,7
524903.79,4572267.614,11.11,7
524904.095,4572278.719,11.11,6
524904.4,4572289.825,11.11,6
524904.704,4572300.931,11.11,6
524905.48,4572312.011,11.11,6
524906.387,4572323.084,11.11,6
524907.293,4572334.157,11.11,7
524908.199,4572345.23,11.11,7
524909.36,4572356.272,11.11,7
524911.155,4572367.236,11.11,7
524912.95,4572378.2,11.11,7
524914.745,4572389.164,11.11,7
524916.54,4572400.128,11.11,7
524918.727,4572411.019,11.11,7
524921.021,4572421.889,11.11,7
524923.314,4572432.76,11.11,6
524925.608,4572443.631,11.11,6
524928.17,4572454.432,11.11,6
524931.397,4572465.064,11.11,6
524934.623,4572475.695,11.11,7
524937.85,4572486.326,11.11,7
524941.076,4572496.957,11.11,7
524944.941,4572507.367,11.11,7
524948.976,4572517.719,11.11,7
524953.011,4572528.07,11.11,6
524957.046,4572538.421,11.11,6
524961.298,4572548.679,11.11,6
524966.072,4572558.711,11.11,6
524970.846,4572568.743,11.11,6
524975.62,4572578.775,11.11,6
524980.393,4572588.807,11.11,6
524985.737,4572598.542,11.11,6
524991.228,4572608.2,11.11,6
524996.72,4572617.858,11.11,6
525002.211,4572627.516,11.11,6
525007.901,4572637.052,11.11,6
525014.063,4572646.297,11.11,6
525020.224,4572655.541,11.11,6
525026.386,4572664.786,11.11,6
525032.548,4572674.031,11.11,6
525039.363,4572682.796,11.11,6
525046.345,4572691.438,11.11,6
525053.326,4572700.08,11.11,6
525060.308,4572708.722,11.11,6
525067.483,4572717.195,11.11,6
525075.113,4572725.271,11.11,6
525082.742,4572733.347,11.11,6
525090.372,4572741.423,11.11,6
525098.001,4572749.499,11.11,6
525106.017,4572757.187,11.11,6
525114.129,4572764.779,11.11,6
525122.241,4572772.37,11.11,6
525130.353,4572779.962,11.11,6
525138.511,4572787.503,11.11,6
525146.776,4572794.926,11.11,6
525155.042,4572802.35,11.11,6
525163.307,4572809.774,11.11,6
525171.572,4572817.198,11.11,6
525179.967,4572824.476,11.11,6
525188.393,4572831.716,11.11,6
525196.82,4572838.957,11.11,6
525205.246,4572846.198,11.11,6
525213.682,4572853.428,11.11,6
525222.139,4572860.632,11.11,6
525230.596,4572867.837,11.11,6
525239.053,4572875.042,11.11,6
525247.511,4572882.246,11.11,6
525256.001,4572889.412,11.11,6
525264.5,4572896.567,11.11,6
525272.999,4572903.723,11.11,7
525281.498,4572910.878,11.11,7
525290.0,4572918.03,11.11,7
525298.509,4572925.174,11.11,7
525307.018,4572932.317,11.11,6
525315.527,4572939.461,11.11,6
525324.036,4572946.604,11.11,6
525332.53,4572953.764,11.11,6
525341.022,4572960.929,11.11,6
525349.508,4572968.089,11.104,6
525357.991,4572975.246,11.0979,6
525366.468,4572982.399,11.0918,6
525374.941,4572989.547,11.0856,6
525383.432,4572996.712,11.11,6
525391.923,4573003.876,11.11,6
525400.415,4573011.041,11.11,6
525408.933,4573018.173,11.11,6
525417.458,4573025.298,11.11,6
525425.983,4573032.422,11.11,6
525434.508,4573039.546,11.11,6
525443.038,4573046.665,11.11,6
525451.579,4573053.77,11.11,6
525460.12,4573060.875,11.11,6
525468.661,4573067.98,11.11,6
525477.202,4573075.085,11.11,6
525485.743,4573082.19,11.11,6
525494.284,4573089.295,11.11,6
525502.825,4573096.4,11.11,6
525511.367,4573103.505,11.11,6
525519.896,4573110.624,11.11,6
525528.398,4573117.775,11.11,6
525536.901,4573124.927,11.11,6
525545.403,4573132.079,11.11,6
525553.905,4573139.23,11.11,6
525562.124,4573146.703,11.11,6
525570.268,4573154.26,11.11,6
525578.412,4573161.817,11.11,7
525586.556,4573169.374,11.11,7
525594.449,4573177.173,11.11,7
525601.737,4573185.558,11.11,7
525609.026,4573193.944,11.11,7
525616.314,4573202.329,11.11,7
525623.602,4573210.714,11.11,7
525630.283,4573219.582,11.11,7
525636.807,4573228.575,11.11,7
525643.33,4573237.568,11.11,6
525649.854,4573246.562,11.11,6
525656.198,4573255.676,11.11,6
525662.119,4573265.077,11.11,6
525668.039,4573274.478,11.11,6
525673.959,4573283.88,11.11,6
525679.879,4573293.281,11.11,6
525685.547,4573302.835,11.11,6
525691.152,4573312.428,11.11,6
525696.756,4573322.02,11.11,7
525702.361,4573331.613,11.11,7
525707.889,4573341.249,11.11,7
525713.235,4573350.989,11.11,7
525718.581,4573360.728,11.11,6
525723.927,4573370.467,11.11,6
525729.273,4573380.206,11.11,6
525734.582,4573389.966,11.11,6
525739.881,4573399.73,11.11,6
525745.18,4573409.495,11.11,6
525750.479,4573419.26,11.11,6
525755.779,4573429.025,11.11,6
525761.078,4573438.79,11.11,6
525766.377,4573448.554,11.11,7
525771.676,4573458.319,11.11,7
525776.975,4573468.084,11.11,7
525782.275,4573477.849,11.11,7
525787.574,4573487.613,11.11,7
525792.873,4573497.378,11.11,6
525798.172,4573507.143,11.11,6
525803.471,4573516.908,11.11,6
525808.77,4573526.672,11.11,6
525814.07,4573536.437,11.11,6
525819.369,4573546.202,11.11,6
525824.668,4573555.967,11.11,6
525829.967,4573565.732,11.11,6
525835.266,4573575.496,11.11,6
525840.566,4573585.261,11.11,6
525845.865,4573595.026,11.11,6
525851.164,4573604.791,11.11,6
